,Date Reported,Fiscal Year,Department,Category,Sex,Race/Ethnicity,Value
13324,2017-06-30,2017,Police Department,Total Employees,Male,Black/African-American,16.0
13325,2017-06-30,2017,Police Department,Total Employees,Male,Hispanic/Latino,10.0
13326,2017-06-30,2017,Police Department,Total Employees,Male,Multiracial,1.0
13327,2017-06-30,2017,Police Department,Total Employees,Male,Native American,4.0
13328,2017-06-30,2017,Police Department,Total Employees,Male,Total,298.0
13329,2017-06-30,2017,Police Department,Total Employees,Male,White,262.0
13330,2017-06-30,2017,Police Department,Total Employees,Total,Asian,6.0
13331,2017-06-30,2017,Police Department,Total Employees,Total,Black/African-American,16.0
13332,2017-06-30,2017,Police Department,Total Employees,Total,Hispanic/Latino,11.0
13333,2017-06-30,2017,Police Department,Total Employees,Total,Multiracial,2.0
13334,2017-06-30,2017,Police Department,Total Employees,Total,Native American,4.0
13335,2017-06-30,2017,Police Department,Total Employees,Total,Total,368.0
13336,2017-06-30,2017,Police Department,Total Employees,Total,White,329.0
13337,2017-06-30,2017,Public Works,Total Employees,Female,Asian,0.0
13338,2017-06-30,2017,Public Works,Total Employees,Female,Black/African-American,2.0
13339,2017-06-30,2017,Public Works,Total Employees,Female,Hispanic/Latino,0.0
13340,2017-06-30,2017,Public Works,Total Employees,Female,Multiracial,0.0
13341,2017-06-30,2017,Public Works,Total Employees,Female,Native American,0.0
13342,2017-06-30,2017,Public Works,Total Employees,Female,Total,10.0
13343,2017-06-30,2017,Public Works,Total Employees,Female,White,8.0
13344,2017-06-30,2017,Public Works,Total Employees,Male,Asian,0.0
13345,2017-06-30,2017,Public Works,Total Employees,Male,Black/African-American,15.0
13346,2017-06-30,2017,Public Works,Total Employees,Male,Hispanic/Latino,5.0
13347,2017-06-30,2017,Public Works,Total Employees,Male,Multiracial,0.0
13348,2017-06-30,2017,Public Works,Total Employees,Male,Native American,2.0
13349,2017-06-30,2017,Public Works,Total Employees,Male,Total,61.0
13350,2017-06-30,2017,Public Works,Total Employees,Male,White,39.0
13351,2017-06-30,2017,Public Works,Total Employees,Total,Asian,0.0
13352,2017-06-30,2017,Public Works,Total Employees,Total,Black/African-American,17.0
13353,2017-06-30,2017,Public Works,Total Employees,Total,Hispanic/Latino,5.0
13354,2017-06-30,2017,Public Works,Total Employees,Total,Multiracial,0.0
13355,2017-06-30,2017,Public Works,Total Employees,Total,Native American,2.0
13356,2017-06-30,2017,Public Works,Total Employees,Total,Total,71.0
13357,2017-06-30,2017,Public Works,Total Employees,Total,White,47.0
13358,2017-06-30,2017,Total,Total Employees,Female,Asian,8.0
13359,2017-06-30,2017,Total,Total Employees,Female,Black/African-American,26.0
13360,2017-06-30,2017,Total,Total Employees,Female,Hispanic/Latino,3.0
13361,2017-06-30,2017,Total,Total Employees,Female,Multiracial,3.0
13362,2017-06-30,2017,Total,Total Employees,Female,Native American,3.0
13363,2017-06-30,2017,Total,Total Employees,Female,Total,318.0
13364,2017-06-30,2017,Total,Total Employees,Female,White,275.0
13365,2017-06-30,2017,Total,Total Employees,Male,Asian,10.0
13366,2017-06-30,2017,Total,Total Employees,Male,Black/African-American,64.0
13367,2017-06-30,2017,Total,Total Employees,Male,Hispanic/Latino,30.0
13368,2017-06-30,2017,Total,Total Employees,Male,Multiracial,6.0
13369,2017-06-30,2017,Total,Total Employees,Male,Native American,7.0
13370,2017-06-30,2017,Total,Total Employees,Male,Total,969.0
13371,2017-06-30,2017,Total,Total Employees,Male,White,852.0
13372,2017-06-30,2017,Total,Total Employees,Total,Asian,18.0
13373,2017-06-30,2017,Total,Total Employees,Total,Black/African-American,90.0
13374,2017-06-30,2017,Total,Total Employees,Total,Hispanic/Latino,33.0
13375,2017-06-30,2017,Total,Total Employees,Total,Multiracial,9.0
13376,2017-06-30,2017,Total,Total Employees,Total,Native American,10.0
13377,2017-06-30,2017,Total,Total Employees,Total,Total,1287.0
13378,2017-06-30,2017,Total,Total Employees,Total,White,1127.0
13379,2017-06-30,2017,Traffic Safety,Total Employees,Female,Asian,0.0
13380,2017-06-30,2017,Traffic Safety,Total Employees,Female,Black/African-American,0.0
13381,2017-06-30,2017,Traffic Safety,Total Employees,Female,Hispanic/Latino,0.0
13382,2017-06-30,2017,Traffic Safety,Total Employees,Female,Multiracial,0.0
13383,2017-06-30,2017,Traffic Safety,Total Employees,Female,Native American,0.0
13384,2017-06-30,2017,Traffic Safety,Total Employees,Female,Total,3.0
13385,2017-06-30,2017,Traffic Safety,Total Employees,Female,White,3.0
13386,2017-06-30,2017,Traffic Safety,Total Employees,Male,Asian,0.0
13387,2017-06-30,2017,Traffic Safety,Total Employees,Male,Black/African-American,2.0
13388,2017-06-30,2017,Traffic Safety,Total Employees,Male,Hispanic/Latino,0.0
13389,2017-06-30,2017,Traffic Safety,Total Employees,Male,Multiracial,0.0
13390,2017-06-30,2017,Traffic Safety,Total Employees,Male,Native American,0.0
13391,2017-06-30,2017,Traffic Safety,Total Employees,Male,Total,22.0
13392,2017-06-30,2017,Traffic Safety,Total Employees,Male,White,20.0
13393,2017-06-30,2017,Traffic Safety,Total Employees,Total,Asian,0.0
13394,2017-06-30,2017,Traffic Safety,Total Employees,Total,Black/African-American,2.0
13395,2017-06-30,2017,Traffic Safety,Total Employees,Total,Hispanic/Latino,0.0
13396,2017-06-30,2017,Traffic Safety,Total Employees,Total,Multiracial,0.0
13397,2017-06-30,2017,Traffic Safety,Total Employees,Total,Native American,0.0
13398,2017-06-30,2017,Traffic Safety,Total Employees,Total,Total,25.0
13399,2017-06-30,2017,Traffic Safety,Total Employees,Total,White,23.0
13400,2017-06-30,2017,Water,Total Employees,Female,Asian,1.0
13401,2017-06-30,2017,Water,Total Employees,Female,Black/African-American,3.0
13402,2017-06-30,2017,Water,Total Employees,Female,Hispanic/Latino,0.0
13403,2017-06-30,2017,Water,Total Employees,Female,Multiracial,0.0
13404,2017-06-30,2017,Water,Total Employees,Female,Native American,0.0
13405,2017-06-30,2017,Water,Total Employees,Female,Total,21.0
13406,2017-06-30,2017,Water,Total Employees,Female,White,17.0
13407,2017-06-30,2017,Water,Total Employees,Male,Asian,1.0
13408,2017-06-30,2017,Water,Total Employees,Male,Black/African-American,9.0
13409,2017-06-30,2017,Water,Total Employees,Male,Hispanic/Latino,1.0
13410,2017-06-30,2017,Water,Total Employees,Male,Multiracial,0.0
13411,2017-06-30,2017,Water,Total Employees,Male,Native American,1.0
13412,2017-06-30,2017,Water,Total Employees,Male,Total,82.0
13413,2017-06-30,2017,Water,Total Employees,Male,White,70.0
13414,2017-06-30,2017,Water,Total Employees,Total,Asian,2.0
13415,2017-06-30,2017,Water,Total Employees,Total,Black/African-American,12.0
13416,2017-06-30,2017,Water,Total Employees,Total,Hispanic/Latino,1.0
13417,2017-06-30,2017,Water,Total Employees,Total,Multiracial,0.0
13418,2017-06-30,2017,Water,Total Employees,Total,Native American,1.0
13419,2017-06-30,2017,Water,Total Employees,Total,Total,103.0
13420,2017-06-30,2017,Water,Total Employees,Total,White,87.0
13421,2018-06-30,2018,311 Customer Service,Total Employees,Female,Asian,0.0
13422,2018-06-30,2018,311 Customer Service,Total Employees,Female,Black/African-American,1.0
13423,2018-06-30,2018,311 Customer Service,Total Employees,Female,Hispanic/Latino,1.0
13424,2018-06-30,2018,311 Customer Service,Total Employees,Female,Multiracial,0.0
13425,2018-06-30,2018,311 Customer Service,Total Employees,Female,Native American,0.0
13426,2018-06-30,2018,311 Customer Service,Total Employees,Female,Total,8.0
13427,2018-06-30,2018,311 Customer Service,Total Employees,Female,White,6.0
13428,2018-06-30,2018,311 Customer Service,Total Employees,Male,Asian,0.0
13429,2018-06-30,2018,311 Customer Service,Total Employees,Male,Black/African-American,0.0
13430,2018-06-30,2018,311 Customer Service,Total Employees,Male,Hispanic/Latino,1.0
13431,2018-06-30,2018,311 Customer Service,Total Employees,Male,Multiracial,0.0
13432,2018-06-30,2018,311 Customer Service,Total Employees,Male,Native American,0.0
13433,2018-06-30,2018,311 Customer Service,Total Employees,Male,Total,5.0
13434,2018-06-30,2018,311 Customer Service,Total Employees,Male,White,4.0
13435,2018-06-30,2018,311 Customer Service,Total Employees,Total,Asian,0.0
13436,2018-06-30,2018,311 Customer Service,Total Employees,Total,Black/African-American,1.0
13437,2018-06-30,2018,311 Customer Service,Total Employees,Total,Hispanic/Latino,2.0
13438,2018-06-30,2018,311 Customer Service,Total Employees,Total,Multiracial,0.0
13439,2018-06-30,2018,311 Customer Service,Total Employees,Total,Native American,0.0
13440,2018-06-30,2018,311 Customer Service,Total Employees,Total,Total,13.0
13441,2018-06-30,2018,311 Customer Service,Total Employees,Total,White,10.0
13442,2018-06-30,2018,61st District Court,Total Employees,Female,Asian,0.0
13443,2018-06-30,2018,61st District Court,Total Employees,Female,Black/African-American,13.0
13444,2018-06-30,2018,61st District Court,Total Employees,Female,Hispanic/Latino,0.0
13445,2018-06-30,2018,61st District Court,Total Employees,Female,Multiracial,1.0
13446,2018-06-30,2018,61st District Court,Total Employees,Female,Native American,0.0
13447,2018-06-30,2018,61st District Court,Total Employees,Female,Total,54.0
13448,2018-06-30,2018,61st District Court,Total Employees,Female,White,40.0
13449,2018-06-30,2018,61st District Court,Total Employees,Male,Asian,0.0
13450,2018-06-30,2018,61st District Court,Total Employees,Male,Black/African-American,3.0
13451,2018-06-30,2018,61st District Court,Total Employees,Male,Hispanic/Latino,1.0
13452,2018-06-30,2018,61st District Court,Total Employees,Male,Multiracial,0.0
13453,2018-06-30,2018,61st District Court,Total Employees,Male,Native American,1.0
13454,2018-06-30,2018,61st District Court,Total Employees,Male,Total,23.0
13455,2018-06-30,2018,61st District Court,Total Employees,Male,White,18.0
13456,2018-06-30,2018,61st District Court,Total Employees,Total,Asian,0.0
13457,2018-06-30,2018,61st District Court,Total Employees,Total,Black/African-American,16.0
13458,2018-06-30,2018,61st District Court,Total Employees,Total,Hispanic/Latino,1.0
13459,2018-06-30,2018,61st District Court,Total Employees,Total,Multiracial,1.0
13460,2018-06-30,2018,61st District Court,Total Employees,Total,Native American,1.0
13461,2018-06-30,2018,61st District Court,Total Employees,Total,Total,77.0
13462,2018-06-30,2018,61st District Court,Total Employees,Total,White,58.0
13463,2018-06-30,2018,Administrative Services,Total Employees,Female,Asian,0.0
13464,2018-06-30,2018,Administrative Services,Total Employees,Female,Black/African-American,1.0
13465,2018-06-30,2018,Administrative Services,Total Employees,Female,Hispanic/Latino,0.0
13466,2018-06-30,2018,Administrative Services,Total Employees,Female,Multiracial,0.0
13467,2018-06-30,2018,Administrative Services,Total Employees,Female,Native American,0.0
13468,2018-06-30,2018,Administrative Services,Total Employees,Female,Total,3.0
13469,2018-06-30,2018,Administrative Services,Total Employees,Female,White,2.0
13470,2018-06-30,2018,Administrative Services,Total Employees,Male,Asian,0.0
13471,2018-06-30,2018,Administrative Services,Total Employees,Male,Black/African-American,1.0
13472,2018-06-30,2018,Administrative Services,Total Employees,Male,Hispanic/Latino,0.0
13473,2018-06-30,2018,Administrative Services,Total Employees,Male,Multiracial,0.0
13474,2018-06-30,2018,Administrative Services,Total Employees,Male,Native American,0.0
13475,2018-06-30,2018,Administrative Services,Total Employees,Male,Total,1.0
13476,2018-06-30,2018,Administrative Services,Total Employees,Male,White,0.0
13477,2018-06-30,2018,Administrative Services,Total Employees,Total,Asian,0.0
13478,2018-06-30,2018,Administrative Services,Total Employees,Total,Black/African-American,2.0
13479,2018-06-30,2018,Administrative Services,Total Employees,Total,Hispanic/Latino,0.0
13480,2018-06-30,2018,Administrative Services,Total Employees,Total,Multiracial,0.0
13481,2018-06-30,2018,Administrative Services,Total Employees,Total,Native American,0.0
13482,2018-06-30,2018,Administrative Services,Total Employees,Total,Total,4.0
13483,2018-06-30,2018,Administrative Services,Total Employees,Total,White,2.0
13484,2018-06-30,2018,Assessor,Total Employees,Female,Asian,1.0
13485,2018-06-30,2018,Assessor,Total Employees,Female,Black/African-American,0.0
13486,2018-06-30,2018,Assessor,Total Employees,Female,Hispanic/Latino,0.0
13487,2018-06-30,2018,Assessor,Total Employees,Female,Multiracial,0.0
13488,2018-06-30,2018,Assessor,Total Employees,Female,Native American,0.0
13489,2018-06-30,2018,Assessor,Total Employees,Female,Total,8.0
13490,2018-06-30,2018,Assessor,Total Employees,Female,White,7.0
13491,2018-06-30,2018,Assessor,Total Employees,Male,Asian,0.0
13492,2018-06-30,2018,Assessor,Total Employees,Male,Black/African-American,0.0
13493,2018-06-30,2018,Assessor,Total Employees,Male,Hispanic/Latino,0.0
13494,2018-06-30,2018,Assessor,Total Employees,Male,Multiracial,0.0
13495,2018-06-30,2018,Assessor,Total Employees,Male,Native American,0.0
13496,2018-06-30,2018,Assessor,Total Employees,Male,Total,6.0
13497,2018-06-30,2018,Assessor,Total Employees,Male,White,6.0
13498,2018-06-30,2018,Assessor,Total Employees,Total,Asian,1.0
13499,2018-06-30,2018,Assessor,Total Employees,Total,Black/African-American,0.0
13500,2018-06-30,2018,Assessor,Total Employees,Total,Hispanic/Latino,0.0
13501,2018-06-30,2018,Assessor,Total Employees,Total,Multiracial,0.0
13502,2018-06-30,2018,Assessor,Total Employees,Total,Native American,0.0
13503,2018-06-30,2018,Assessor,Total Employees,Total,Total,14.0
13504,2018-06-30,2018,Assessor,Total Employees,Total,White,13.0
13505,2018-06-30,2018,Cemetery,Total Employees,Male,Asian,0.0
13506,2018-06-30,2018,Cemetery,Total Employees,Male,Black/African-American,0.0
13507,2018-06-30,2018,Cemetery,Total Employees,Male,Hispanic/Latino,0.0
13508,2018-06-30,2018,Cemetery,Total Employees,Male,Multiracial,0.0
13509,2018-06-30,2018,Cemetery,Total Employees,Male,Native American,0.0
13510,2018-06-30,2018,Cemetery,Total Employees,Male,Total,2.0
13511,2018-06-30,2018,Cemetery,Total Employees,Male,White,2.0
13512,2018-06-30,2018,Cemetery,Total Employees,Total,Asian,0.0
13513,2018-06-30,2018,Cemetery,Total Employees,Total,Black/African-American,0.0
13514,2018-06-30,2018,Cemetery,Total Employees,Total,Hispanic/Latino,0.0
13515,2018-06-30,2018,Cemetery,Total Employees,Total,Multiracial,0.0
13516,2018-06-30,2018,Cemetery,Total Employees,Total,Native American,0.0
13517,2018-06-30,2018,Cemetery,Total Employees,Total,Total,2.0
13518,2018-06-30,2018,Cemetery,Total Employees,Total,White,2.0
13519,2018-06-30,2018,City Attorney,Total Employees,Female,Asian,0.0
13520,2018-06-30,2018,City Attorney,Total Employees,Female,Black/African-American,2.0
13521,2018-06-30,2018,City Attorney,Total Employees,Female,Hispanic/Latino,0.0
13522,2018-06-30,2018,City Attorney,Total Employees,Female,Multiracial,0.0
13523,2018-06-30,2018,City Attorney,Total Employees,Female,Native American,0.0
13524,2018-06-30,2018,City Attorney,Total Employees,Female,Total,10.0
13525,2018-06-30,2018,City Attorney,Total Employees,Female,White,8.0
13526,2018-06-30,2018,City Attorney,Total Employees,Male,Asian,0.0
13527,2018-06-30,2018,City Attorney,Total Employees,Male,Black/African-American,0.0
13528,2018-06-30,2018,City Attorney,Total Employees,Male,Hispanic/Latino,0.0
13529,2018-06-30,2018,City Attorney,Total Employees,Male,Multiracial,0.0
13530,2018-06-30,2018,City Attorney,Total Employees,Male,Native American,0.0
13531,2018-06-30,2018,City Attorney,Total Employees,Male,Total,5.0
13532,2018-06-30,2018,City Attorney,Total Employees,Male,White,5.0
13533,2018-06-30,2018,City Attorney,Total Employees,Total,Asian,0.0
13534,2018-06-30,2018,City Attorney,Total Employees,Total,Black/African-American,2.0
13535,2018-06-30,2018,City Attorney,Total Employees,Total,Hispanic/Latino,0.0
13536,2018-06-30,2018,City Attorney,Total Employees,Total,Multiracial,0.0
13537,2018-06-30,2018,City Attorney,Total Employees,Total,Native American,0.0
13538,2018-06-30,2018,City Attorney,Total Employees,Total,Total,15.0
13539,2018-06-30,2018,City Attorney,Total Employees,Total,White,13.0
13540,2018-06-30,2018,City Clerk,Total Employees,Female,Asian,0.0
13541,2018-06-30,2018,City Clerk,Total Employees,Female,Black/African-American,1.0
13542,2018-06-30,2018,City Clerk,Total Employees,Female,Hispanic/Latino,0.0
13543,2018-06-30,2018,City Clerk,Total Employees,Female,Multiracial,0.0
13544,2018-06-30,2018,City Clerk,Total Employees,Female,Native American,0.0
13545,2018-06-30,2018,City Clerk,Total Employees,Female,Total,6.0
13546,2018-06-30,2018,City Clerk,Total Employees,Female,White,5.0
13547,2018-06-30,2018,City Clerk,Total Employees,Male,Asian,0.0
13548,2018-06-30,2018,City Clerk,Total Employees,Male,Black/African-American,0.0
13549,2018-06-30,2018,City Clerk,Total Employees,Male,Hispanic/Latino,0.0
13550,2018-06-30,2018,City Clerk,Total Employees,Male,Multiracial,0.0
13551,2018-06-30,2018,City Clerk,Total Employees,Male,Native American,0.0
13552,2018-06-30,2018,City Clerk,Total Employees,Male,Total,5.0
13553,2018-06-30,2018,City Clerk,Total Employees,Male,White,5.0
13554,2018-06-30,2018,City Clerk,Total Employees,Total,Asian,0.0
13555,2018-06-30,2018,City Clerk,Total Employees,Total,Black/African-American,1.0
13556,2018-06-30,2018,City Clerk,Total Employees,Total,Hispanic/Latino,0.0
13557,2018-06-30,2018,City Clerk,Total Employees,Total,Multiracial,0.0
13558,2018-06-30,2018,City Clerk,Total Employees,Total,Native American,0.0
13559,2018-06-30,2018,City Clerk,Total Employees,Total,Total,11.0
13560,2018-06-30,2018,City Clerk,Total Employees,Total,White,10.0
13561,2018-06-30,2018,City Commission,Total Employees,Female,Asian,0.0
13562,2018-06-30,2018,City Commission,Total Employees,Female,Black/African-American,1.0
13563,2018-06-30,2018,City Commission,Total Employees,Female,Hispanic/Latino,0.0
13564,2018-06-30,2018,City Commission,Total Employees,Female,Multiracial,0.0
13565,2018-06-30,2018,City Commission,Total Employees,Female,Native American,0.0
13566,2018-06-30,2018,City Commission,Total Employees,Female,Total,4.0
13567,2018-06-30,2018,City Commission,Total Employees,Female,White,3.0
13568,2018-06-30,2018,City Commission,Total Employees,Male,Asian,0.0
13569,2018-06-30,2018,City Commission,Total Employees,Male,Black/African-American,1.0
13570,2018-06-30,2018,City Commission,Total Employees,Male,Hispanic/Latino,0.0
13571,2018-06-30,2018,City Commission,Total Employees,Male,Multiracial,0.0
13572,2018-06-30,2018,City Commission,Total Employees,Male,Native American,0.0
13573,2018-06-30,2018,City Commission,Total Employees,Male,Total,3.0
13574,2018-06-30,2018,City Commission,Total Employees,Male,White,2.0
13575,2018-06-30,2018,City Commission,Total Employees,Total,Asian,0.0
13576,2018-06-30,2018,City Commission,Total Employees,Total,Black/African-American,2.0
13577,2018-06-30,2018,City Commission,Total Employees,Total,Hispanic/Latino,0.0
13578,2018-06-30,2018,City Commission,Total Employees,Total,Multiracial,0.0
13579,2018-06-30,2018,City Commission,Total Employees,Total,Native American,0.0
13580,2018-06-30,2018,City Commission,Total Employees,Total,Total,7.0
13581,2018-06-30,2018,City Commission,Total Employees,Total,White,5.0
13582,2018-06-30,2018,City Retirement System Office,Total Employees,Female,Asian,0.0
13583,2018-06-30,2018,City Retirement System Office,Total Employees,Female,Black/African-American,0.0
13584,2018-06-30,2018,City Retirement System Office,Total Employees,Female,Hispanic/Latino,0.0
13585,2018-06-30,2018,City Retirement System Office,Total Employees,Female,Multiracial,0.0
13586,2018-06-30,2018,City Retirement System Office,Total Employees,Female,Native American,0.0
13587,2018-06-30,2018,City Retirement System Office,Total Employees,Female,Total,4.0
13588,2018-06-30,2018,City Retirement System Office,Total Employees,Female,White,4.0
13589,2018-06-30,2018,City Retirement System Office,Total Employees,Total,Asian,0.0
13590,2018-06-30,2018,City Retirement System Office,Total Employees,Total,Black/African-American,0.0
13591,2018-06-30,2018,City Retirement System Office,Total Employees,Total,Hispanic/Latino,0.0
13592,2018-06-30,2018,City Retirement System Office,Total Employees,Total,Multiracial,0.0
13593,2018-06-30,2018,City Retirement System Office,Total Employees,Total,Native American,0.0
13594,2018-06-30,2018,City Retirement System Office,Total Employees,Total,Total,4.0
13595,2018-06-30,2018,City Retirement System Office,Total Employees,Total,White,4.0
13596,2018-06-30,2018,City Treasurer,Total Employees,Female,Asian,0.0
13597,2018-06-30,2018,City Treasurer,Total Employees,Female,Black/African-American,0.0
13598,2018-06-30,2018,City Treasurer,Total Employees,Female,Hispanic/Latino,0.0
13599,2018-06-30,2018,City Treasurer,Total Employees,Female,Multiracial,0.0
13600,2018-06-30,2018,City Treasurer,Total Employees,Female,Native American,0.0
13601,2018-06-30,2018,City Treasurer,Total Employees,Female,Total,10.0
13602,2018-06-30,2018,City Treasurer,Total Employees,Female,White,10.0
13603,2018-06-30,2018,City Treasurer,Total Employees,Male,Asian,1.0
13604,2018-06-30,2018,City Treasurer,Total Employees,Male,Black/African-American,0.0
13605,2018-06-30,2018,City Treasurer,Total Employees,Male,Hispanic/Latino,1.0
13606,2018-06-30,2018,City Treasurer,Total Employees,Male,Multiracial,0.0
13607,2018-06-30,2018,City Treasurer,Total Employees,Male,Native American,0.0
13608,2018-06-30,2018,City Treasurer,Total Employees,Male,Total,6.0
13609,2018-06-30,2018,City Treasurer,Total Employees,Male,White,4.0
13610,2018-06-30,2018,City Treasurer,Total Employees,Total,Asian,1.0
13611,2018-06-30,2018,City Treasurer,Total Employees,Total,Black/African-American,0.0
13612,2018-06-30,2018,City Treasurer,Total Employees,Total,Hispanic/Latino,1.0
13613,2018-06-30,2018,City Treasurer,Total Employees,Total,Multiracial,0.0
13614,2018-06-30,2018,City Treasurer,Total Employees,Total,Native American,0.0
13615,2018-06-30,2018,City Treasurer,Total Employees,Total,Total,16.0
13616,2018-06-30,2018,City Treasurer,Total Employees,Total,White,14.0
13617,2018-06-30,2018,Code Compliance,Total Employees,Female,Asian,0.0
13618,2018-06-30,2018,Code Compliance,Total Employees,Female,Black/African-American,3.0
13619,2018-06-30,2018,Code Compliance,Total Employees,Female,Hispanic/Latino,0.0
13620,2018-06-30,2018,Code Compliance,Total Employees,Female,Multiracial,0.0
13621,2018-06-30,2018,Code Compliance,Total Employees,Female,Native American,0.0
13622,2018-06-30,2018,Code Compliance,Total Employees,Female,Total,11.0
13623,2018-06-30,2018,Code Compliance,Total Employees,Female,White,8.0
13624,2018-06-30,2018,Code Compliance,Total Employees,Male,Asian,0.0
13625,2018-06-30,2018,Code Compliance,Total Employees,Male,Black/African-American,4.0
13626,2018-06-30,2018,Code Compliance,Total Employees,Male,Hispanic/Latino,0.0
13627,2018-06-30,2018,Code Compliance,Total Employees,Male,Multiracial,0.0
13628,2018-06-30,2018,Code Compliance,Total Employees,Male,Native American,0.0
13629,2018-06-30,2018,Code Compliance,Total Employees,Male,Total,42.0
13630,2018-06-30,2018,Code Compliance,Total Employees,Male,White,38.0
13631,2018-06-30,2018,Code Compliance,Total Employees,Total,Asian,0.0
13632,2018-06-30,2018,Code Compliance,Total Employees,Total,Black/African-American,7.0
13633,2018-06-30,2018,Code Compliance,Total Employees,Total,Hispanic/Latino,0.0
13634,2018-06-30,2018,Code Compliance,Total Employees,Total,Multiracial,0.0
13635,2018-06-30,2018,Code Compliance,Total Employees,Total,Native American,0.0
13636,2018-06-30,2018,Code Compliance,Total Employees,Total,Total,53.0
13637,2018-06-30,2018,Code Compliance,Total Employees,Total,White,46.0
13638,2018-06-30,2018,Community Development,Total Employees,Female,Asian,0.0
13639,2018-06-30,2018,Community Development,Total Employees,Female,Black/African-American,0.0
13640,2018-06-30,2018,Community Development,Total Employees,Female,Hispanic/Latino,0.0
13641,2018-06-30,2018,Community Development,Total Employees,Female,Multiracial,0.0
13642,2018-06-30,2018,Community Development,Total Employees,Female,Native American,0.0
13643,2018-06-30,2018,Community Development,Total Employees,Female,Total,7.0
13644,2018-06-30,2018,Community Development,Total Employees,Female,White,7.0
13645,2018-06-30,2018,Community Development,Total Employees,Male,Asian,0.0
13646,2018-06-30,2018,Community Development,Total Employees,Male,Black/African-American,0.0
13647,2018-06-30,2018,Community Development,Total Employees,Male,Hispanic/Latino,1.0
13648,2018-06-30,2018,Community Development,Total Employees,Male,Multiracial,0.0
13649,2018-06-30,2018,Community Development,Total Employees,Male,Native American,0.0
13650,2018-06-30,2018,Community Development,Total Employees,Male,Total,5.0
13651,2018-06-30,2018,Community Development,Total Employees,Male,White,4.0
13652,2018-06-30,2018,Community Development,Total Employees,Total,Asian,0.0
13653,2018-06-30,2018,Community Development,Total Employees,Total,Black/African-American,0.0
13654,2018-06-30,2018,Community Development,Total Employees,Total,Hispanic/Latino,1.0
13655,2018-06-30,2018,Community Development,Total Employees,Total,Multiracial,0.0
13656,2018-06-30,2018,Community Development,Total Employees,Total,Native American,0.0
13657,2018-06-30,2018,Community Development,Total Employees,Total,Total,12.0
13658,2018-06-30,2018,Community Development,Total Employees,Total,White,11.0
13659,2018-06-30,2018,Comptroller,Total Employees,Female,Asian,0.0
13660,2018-06-30,2018,Comptroller,Total Employees,Female,Black/African-American,0.0
13661,2018-06-30,2018,Comptroller,Total Employees,Female,Hispanic/Latino,0.0
13662,2018-06-30,2018,Comptroller,Total Employees,Female,Multiracial,0.0
13663,2018-06-30,2018,Comptroller,Total Employees,Female,Native American,0.0
13664,2018-06-30,2018,Comptroller,Total Employees,Female,Total,11.0
13665,2018-06-30,2018,Comptroller,Total Employees,Female,White,11.0
13666,2018-06-30,2018,Comptroller,Total Employees,Male,Asian,0.0
13667,2018-06-30,2018,Comptroller,Total Employees,Male,Black/African-American,0.0
13668,2018-06-30,2018,Comptroller,Total Employees,Male,Hispanic/Latino,0.0
13669,2018-06-30,2018,Comptroller,Total Employees,Male,Multiracial,1.0
13670,2018-06-30,2018,Comptroller,Total Employees,Male,Native American,0.0
13671,2018-06-30,2018,Comptroller,Total Employees,Male,Total,2.0
13672,2018-06-30,2018,Comptroller,Total Employees,Male,White,1.0
13673,2018-06-30,2018,Comptroller,Total Employees,Total,Asian,0.0
13674,2018-06-30,2018,Comptroller,Total Employees,Total,Black/African-American,0.0
13675,2018-06-30,2018,Comptroller,Total Employees,Total,Hispanic/Latino,0.0
13676,2018-06-30,2018,Comptroller,Total Employees,Total,Multiracial,1.0
13677,2018-06-30,2018,Comptroller,Total Employees,Total,Native American,0.0
13678,2018-06-30,2018,Comptroller,Total Employees,Total,Total,13.0
13679,2018-06-30,2018,Comptroller,Total Employees,Total,White,12.0
13680,2018-06-30,2018,Dispatch,Total Employees,Female,Asian,0.0
13681,2018-06-30,2018,Dispatch,Total Employees,Female,Black/African-American,0.0
13682,2018-06-30,2018,Dispatch,Total Employees,Female,Hispanic/Latino,0.0
13683,2018-06-30,2018,Dispatch,Total Employees,Female,Multiracial,0.0
13684,2018-06-30,2018,Dispatch,Total Employees,Female,Native American,0.0
13685,2018-06-30,2018,Dispatch,Total Employees,Female,Total,23.0
13686,2018-06-30,2018,Dispatch,Total Employees,Female,White,23.0
13687,2018-06-30,2018,Dispatch,Total Employees,Male,Asian,0.0
13688,2018-06-30,2018,Dispatch,Total Employees,Male,Black/African-American,0.0
13689,2018-06-30,2018,Dispatch,Total Employees,Male,Hispanic/Latino,0.0
13690,2018-06-30,2018,Dispatch,Total Employees,Male,Multiracial,0.0
13691,2018-06-30,2018,Dispatch,Total Employees,Male,Native American,0.0
13692,2018-06-30,2018,Dispatch,Total Employees,Male,Total,18.0
13693,2018-06-30,2018,Dispatch,Total Employees,Male,White,18.0
13694,2018-06-30,2018,Dispatch,Total Employees,Total,Asian,0.0
13695,2018-06-30,2018,Dispatch,Total Employees,Total,Black/African-American,0.0
13696,2018-06-30,2018,Dispatch,Total Employees,Total,Hispanic/Latino,0.0
13697,2018-06-30,2018,Dispatch,Total Employees,Total,Multiracial,0.0
13698,2018-06-30,2018,Dispatch,Total Employees,Total,Native American,0.0
13699,2018-06-30,2018,Dispatch,Total Employees,Total,Total,41.0
